Sentences,Aspect,Target,Polarity,Time
"
Maaf sy udh trauma berobat disini. Penanganan dokter lamban sampai saya harus keguguran. Sudah di kuretase tapi belum juga bersih sampai sekarang. Konsultasi sm dokter sana harus kuretase ulang dgn alasan ini dan itu. Trus gunanya kuretase kemarin apa? Kalau gak bersih sampai skrg Administrasi juga lama banget. Mahal tapi ga ada kualitas. Bad at all pokoknya","Doctor, Receptionist&Billing, Waiting Time, Cost","NULL, NULL, NULL, NULL","Negative, Negative, Negative, Negative",4 months ago
"
Rumah sakit swasta dengan pelayanan yang baik di wilayah Surabaya. Jam besuk relatif bebas tapi tetap tertib dan kondusif.",NULL,NULL,Positive,6 months ago
"
Salah satu rumah sakit swasta yang berada di kota Surabaya. Letaknya strategis berada di pinggir jalan raya dekat dengan Pelabuhan Tanjung Perak Surabaya. Rumah sakit ini merupakan rumah sakit milik pelabuhan yang telah mengalami perkembangan pesat pada pembangunan gedung dan kualitas pelayanannya. Agar lebih murah pasien bisa menggunakan pelayanan BPJS yang tentunya harus mendapatkan rujukan terlebih dahulu dari faskes 1.",Cost,NULL,Positive,a year ago
"
Sorry aq edit ulasan ku.. Tadinya bintang. Jadi bintang. 
Tadinya Pengalaman aq di RS PHC sangat baik.
Pengalaman pertama anakku operasi hipospadia ditangani oleh Dr. adria. Pengalaman kedua, anakku opname karena sakit diare.
Poin2 nya yg bagus disana :
1. Yang pasti bisa dicover BPJS. 
2. Karena disini rumah sakit tipe B,banyak dokter spesialis disini. 
3. Suster nya ramah2 sekali,ya mungkin ada 1-2 yg biasa aja. Tp alhamdulillah yang menangani anak saya semua ramah. Sering kontrol ke kamar. Kalo pencet bel,cepet dateng dan ditangani.
4. Makanan pasien sangat higienis dan dateng lebih awal.
5. Ini penting. Toilet sangat bersih. Dimana2 banyak toilet. Jadi kalo pas mau nebus obat, mau ke mushola,mau ke kantin,ditengah jalan kebelet,ga perlu jauh2. Dan sampah di kamar,rutin diambili. Gak sampek numpuk apalagi berbau.
6. Bagi pengguna bpjs, disamping alfamart sudah ada depo farmasi khusus bpjs. Jadi seperti nya ya,ga perlu antri ke lantai atas,yg sebelum nya mesti antri luama.  
7. Buat kamar rawat inap khusus anak anak,disepanjang dinding luar kamar.. Banyak gambar hewan 2 lucu.. Ada prosotan juga. Bahkan dipoli anak juga ada prosotannya jg..
8. Bisa daftar rawat jalan by online di aplikasi RSPHCCARE . Daftar nya harus h-1 yaa...
9. Disana ada kfc,dunkin donut,cafe pisang,untuk harga miring bisa ke seberang parkiran,ada PKL disana..
10. Keluarga yg mau jenguk,jam berapa aja bisa..
11. Ada alfamart didalem rumah sakit. Jadi mau butuh apa,ga bingung. 
12. Dekat mesin ATM. Tapi BCA ga ada ya.. 

Tapi, baru kemarin saya ke depo farmasi bpjs. Petugas disana semua pakai baju putih. Sepertinya masih baru semua. Sesama rekan banyak ngobrol,banyak saling tanya. Pas buka puasa,semuanya ikut buka. Misal jika ada 8 orang,Seharusnya 4orang buka puasa,sisanya tetap melayani pasien. Banyak keluar masuk gudang.  
Dan yg paling nyebelin. Obat yg diresepkan dokter tidak ada ditempat. Namun petugas tidak memberikan informasi kalo obat tidak ada,dan harus diambil di outlet luar. Saya sampai tanya 3x,masih lama ta Mbak? Jawabnya cuma bentar ya mbak ,bentar ya mbak.. Yg ketiga baru diinfokan. Padahal saya sudah menunggu sampai 2jam lebih. Tolong lebih dibrief lagi untuk petugas,bagaimana standart service yg bagus,gimana komunikasi nya,gimana sikap di front liner.(didepan masih minum susu uht). Karena sangat disayang kan,untuk rumah sakit sekelas ini,harus ada kendala yg menurut saya,sangat sepele namun krusial sekali jika tidak segera dibenahi. Untuk pelayanan servis paripurna,menurut saya adalah suster yg ada dirawat inap,khususnya new safir.  
Terima kasih.. Salam sehat selalu..","Cost, Doctor, Nurse, Food, Cleanliness, Waiting Time, Receptionist&Billing","PHC Hospital, PHC Hospital, PHC Hospital, PHC Hospital, PHC Hospital, PHC Hospital, PHC Hospital","Positive, Positive, Positive, Positive, Positive, Neutral, Positive",a year ago
"
Sarana yang tersedia sangat representatif, dokter perawat yang ramah, yang perlu ditingkatkan adalah memberikan kuota untuk pendaftar rawat jalan yang langsung mendaftar ditempat jadi tidak didominasi oleh pendaftar online.","Doctor, Nurse, Receptionist&Billing","NULL, NULL, NULL","Positive, Positive, Negative",a year ago
"
Rumah sakit yang bagus bangget, dngan pelayanan yang secara keseluruhan sdh tertata rapi dan baik. 
Khusus nya buat mahasiswa yg ingin magang di RS PHC ini bagus banget, karena secara nyata akan di perlihatkan lngsung bagaimana aslinya dunia kerja ",NULL,PHC Hospital,Positive,5 months ago
"
Lama di apotik.. coba kaji banding di RS lain yg pelayanan farmasinya cepat dan tepat.. sy sarankan ke RSUP Sanglah Krn di sana pasien bejibun dari berbagai macam poli dan ruang rawat inap tp pelayanan farmasi cepat.. dlm 10-15 menit sdh dpt obat..",Waiting Time,NULL,Negative,5 months ago
"
Pelayanan yang lain sudah lumayan bagus tp sayang pelayanan farmasi untuk pasien tunai lamban, petugas kayak kurang fokus masih sering bertanya tanya ke sesama petugas gak tahu masalah di sistem atau personalnya padahal kalau saya lihat sudah ada pembagian, semoga kedepan lebih baik  sayang dokter dokternya sudah bagus tp layanan lain lamban","Waiting Time, Doctor","NULL, NULL","Negative, Positive",5 months ago
"
Desain ruangan rawat jalan yang terpisah dari lalu lalang orang lewat, tempat check up yang nyaman, bahkan ada yang vip, bisa menjadi rekomendasi untuk tempat berobat, karena layanan yang banyak dan fasilitas yang nyaman",Test&Examination,NULL,Positive,4 months ago
"
Bagus banget pelayanannya. Ruangannya bersih banget, harum, dingin nyaman banget deh nunggu gak kerasa jadinya. Ada kfc dunkin sama sofa2 juga jadi fasilitasnya top deh keren nih RS PHC","Cleanliness, Food","PHC Hospital, PHC Hospital","Positive, Positive",4 months ago
"
Bad service untuk informasi kepada pasien. Sudah telfon pihak RS menanyakan apakah ada alat untuk membersihkan cotton buds yang terperangkap di telinga, dijawab bisa, langsung ke IGD. 1 jam perjalanan  ternyata tiba di IGD tidak bisa. Tengah malam lagi. Saya kecewa.",Receptionist&Billing,Emergency Department,Negative,5 months ago
"
Mama saya pasien kanker payudara dan berobatnya di PHC ini. Mulai dari kemoterapi, kontrol, CT Scan dll semua disini dengan menggunakan sistem bpjs. Awalnya saya kira yah paling juga pelayanan bpjs ya gitu gitu aja nurse cuek, dokter asal-asalan tapi setelah mama saya rawat inap disana pertama kali untuk biopsi kaget saya karena suster-suster dan dokternya baik banget ngehargain banget walau kita dateng pake kartu bpjs. Pas saat kemo juga baik banget pas obat kanker diinfus sering manggil-manggil suster buat benerin infus yang kadang suka gak netes dan mereka sabar banget gak ngomel ataupun judes. Keep up the good work for PHC! Ini rumah sakit bukan kaleng-kaleng","Test&Examination, Nurse, Doctor","PHC Hospital, PHC Hospital, PHC Hospital","Positive, Positive, Positive",6 months ago
"
Siatem antriannya masih jahiliyah banget, bagusan di puskesmas Surabaya. Terutama di Dokter spesialis, Mahal, 2 jam belum jg dipanggil. Perlu perbaikan sistem antrian itu, masak rumah sakit swasta sistemnya ga transparan. Parah","Waiting Time, Cost","NULL, NULL","Negative, Negative",5 months ago
"
Rumah Sakit ini unik berasa dipantai, krn masuk parkir banyak pohon kelapa, pelayanan informasi ramah, baik dan jelas, ruang tunggu nyaman degan sofa2 yang empuk, di gedung PMC juga ada KFC dan Dunkin Donut juga Cafe D'Kalimas, menyenangkan sambil menunggu bisa makan, di gedung GRHA juga ada Alfamart dan Cafe Pisang, menu sop buntutnya enak banget, over all RS PHC memberikan pengalaman periksa yang beda dg RS yang lain, Sukses terus dan tetap terabaik dalam melayani pasien, aamiin...","Parking, Receptionist&Billing, Food","PHC Hospital, PHC Hospital, PHC Hospital","Positive, Positive, Positive",6 months ago
"
Kmrin siang swami sya dpt rujukn ut MRI.stlah saya googling lngsng bikin janji ut mri.sore jm 5 mri.stlh menunggu gk smpe 1 jm.hasil kluar trus d serahkn pada kami.sya bertnya ttg hasil mri tsb.kta petugas sbnrnya td boleh d sampaikn.krn yg berhak menyampaikn adalah dktr yg mmberi rujukn.saya bilang "" minta tlng d jlzkn sedikit sja hasilnya.biar kami td merasa kwatir.krn nunggu kontrol selanjutnya baru minggu depan"" stlh d tnyakan pada dktr yg menangani mri.akhirnya kami d persilahkn masuk k ruangan dn d jelaskn.sya lupa nama dktrnya.bliau cantik pake hijab.dktr dn perugas mri sngt ramah...","Test&Examination, Waiting Time, Doctor","NULL, NULL, NULL","Positive, Neutral, Positive",7 months ago
"
Standart penggantian selang infus saya lihat diinternet dan pengalaman diRS lain 3 hari ganti,ini sdh 5 hari g diganti.dan tiap menyuntikan cairan ke infus ada yg pakai tisu untuk steril tp ada jg yg main lanhsung tancapin aja.
Sepertinya perawat perlu ditingkatkan lagi standart pelayanan kepasien.",Nurse,NULL,Negative,6 months ago
"
Dr harno spesialis kandungan.
Jadwal saya jam 10-11 diperiksa jam 1 terus fungsinya jadwal apa? 
Jadi dokter itu yang profesional jangan bohongi pasien.
Pelayanan payah. Rumah sakit besar kok pelayananna bagusan klinik.","Waiting Time, Doctor","NULL, NULL","Negative, Negative",7 months ago
"
Sehat selalu",NULL,NULL,Positive,3 days ago
"
RS PHC Surabaya, untuk saya pengguna BPJS pelayanan di sini sangat memuaskan. Dari segi pelayanan, fasilitas, dan kebersihan Rumah Sakit sangat bagus","Test&Examination, Cleanliness","PHC Hospital, PHC Hospital","Positive, Positive",4 months ago
"
Katanya mau dipanggil 2-3 minggu inisampe 1 bpn lbh g juga dipanggiil buat foto.. orang sakit bs tambah parah klo di rs ini.. ampuun",Waiting Time,NULL,Negative,6 months ago
"
Rumah sakit elit",NULL,NULL,Positive,11 months ago
"
Pelayanan di sini sangat lemot dan lama 
. Mohon di tindak org yg malas bekerja dan memperlambat",Waiting Time,NULL,Positive,5 months ago
"
Staf .dokter. suster. Satpam raamaaahh dan sabarrr bgtt. Rumah sakitnya bersih","Doctor, Nurse, Cleanliness","NULL, NULL, NULL","Positive, Positive, Positive",4 months ago
"
Pelayanan sangat lama dan lemot banget. Ibu saya periksa ke Kepala dan Leher bulan Agustus ke Dr Urip katanya mau dilakukan tindakan operasi (berkas sudah dimasukkan) tetapi sampe sekarang bulan Oktober masih belum ada konfirmasi kapan Ibu saya di operasi. Mohon pihak RS PHC untuk dilakukan jadwal tepat waktu. Pasien itu juga bayar. Jangan diundur"". Mau sampai tambah parah (atau tidak tertolong) pasiennya dulu baru dilakukan tindakan.",Waiting Time,NULL,Negative,8 months ago
"
Pelayanan perfect. Kelengkapan alat medis cukup bagus sekelas perkotaan Surabaya. Akses parkir gate otomatis. Aman nyaman di beberapa sisi tampak rindang karena ada beberapa pohon besar. Tingkat 5 tapi ada lift.  Nyaman. Jalan jalan menyusuri koridor pun nyaman. Asik lah. Skill dokter? Udah ga usa ditanya. Sip. Cuma kalo dokter lama datang harap maklum. Praktek juga beliau beliau di rumah sakit lain, bisa juga lagi monitoring pasien pasien yang ngamar. Parkiran kadang crowded. Gpp; dah security ama petugas parkiran banyak yang tanggap..","Test&Examination, Parking, Safety, Doctor, Waiting Time","NULL, NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive, Positive",2 years ago
"
mulai masuk ke parkir sepeda motor
jalan masuk sepeda motor abis dari loket lumayan sempit, jadi harus antri klo barengan sama sepeda motor keluar

untuk parkiran sepeda motor belum ada atap
jadi kalo panas kepanasan, kalao ujan ya kehujanan...
hehehe

masuk ke dalam rs... bersih dan nyaman
pas belum tau ruangan yang saya tuju,
tanya salah satu petugas rs juga ramah dan di tunjukkan lokasinya dengan di antar","Parking, Waiting Time, Cleanliness","NULL, NULL, NULL","Negative, Negative, Positive",2 years ago
"
Disiplin bersih n pelayanan yg bagus n ramah...",Cleanliness,NULL,Positive,4 months ago
"
Di Rumah Sakit ini sudah menjadi tempat yang sangat memadaiUntuk berobat dgn segala fasilitas yang disediakan,disini tidak mengeluarkan biaya untuk mendapatkan pelayanan kesehatan.","Test&Examination, Cost","NULL, NULL","Positive, Positive",a year ago
"
Gedung barunya sangat modern dan bersih, pelayanan cepat dan ramah. Fasilitas lengkap, parkir cukup luas.","Cleanliness, Waiting Time, Test&Examination, Parking","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",a year ago
"
Pelayanan poliklinik nya cukup bagus, khususnya poli mata. Dokternya ramah, alatnya lengakap. Untuk hasil jaeger test juga cepat. Rumah sakit ini merupakan yang terbesar dan terlengkap di daerah perak, dekat dengan pelabuhan tanjung perak. Tempatnya bersih, untuk periksa prosedurnya mudah dan pelayanan informasi cukup ramah dan cekatan.","Doctor, Test&Examination, Waiting Time, Cleanliness, Receptionist&Billing","Eye Poly, Eye Poly, Eye Poly, Eye Poly, Eye Poly","Positive, Positive, Positive, Positive, Positive",a year ago
"
Sangat mengecewakan. pelayanan yg tidak baik dan docter sangat tidak baik dan tidak ramah. pelayanan masyarakat kok sperti ini.",Doctor,NULL,Negative,5 months ago
"
Tempatnya ok bersih",Cleanliness,NULL,Positive,a year ago
"
Medical check up disini ,dipersulit ,pelayanan amburadul khususnya yg mau bkerja di kapal",Test&Examination,NULL,Negative,6 months ago
"
dari semua rumah sakit yang pernah saya kunjungi, rumah sakit PHC ini cukup bagus. dari semua pelayannya pun memuaskan. juga para dokter2 nya profesional dan ramah. dari semua ruangan2nya sangat bersih.ada saran dari saya untuk rumah sakit PHC ini... mohon untuk mendownload aplikasinya disediakan juga untuk appstore(iOS). terimakasih","Doctor, Cleanliness","PHC Hospital, PHC Hospital","Positive, Positive",2 years ago
"
untuk medical chek up pelaut.. harga 2juta 100 bisa lebih mahal kalau umur diatas 40.
dokter tdk ada yg standbye. pelayanan jg tidak terintegritas.. ksana kmari.. nunggu janjian dgn dokter. nunggu di telfon dr dokter bersangkutan bisa berhari2.","Cost, Doctor, Waiting Time","NULL, NULL, NULL","Negative, Negative, Negative",a year ago
"
terkenal dengan rumah sakit yg wah.. tp toilet kering ga ada air terutama di dekat kamar operasi lantai 4 .. ruang tunggu operasi ada televisi tp juga gtu ga bisa di pakai .. cm buat hiasan .",NULL,NULL,Negative,a year ago
"
Pelayanan buruk.. staf di bagian pendaftaran igd kurang berdedikasi.. kurang profesional.. selalu membedakan pasien yg memakai bpjs ... Dokter serta perawatnya kurang kurang profesional.","Receptionist&Billing, Doctor, Nurse","NULL, NULL, NULL","Negative, Negative, Negative",a year ago
"
Bersih dan luas ruangannya #berlian06",Cleanliness,NULL,Positive,4 months ago
"
Biasa saja namanya juga Rumah Sakit tempat orang setelah setor uang",NULL,NULL,Neutral,a year ago
"
Rumah sakit paling bagus dan paling lengkap di wilayah Tanjung Perak dan sekitarnya. Bangunannya megah. Pasien kebanyakan dari Madura, karena dekat dengan Penyeberangan Ujung - Kamal dan lokasinya sangat strategis, mudah dijangkau. Parkir luas dan aman.",Parking,NULL,Positive,2 years ago
"
Ibu saya op av shunt di rs.phc. alhamdulillah dr front office hingga dokter dan perawatnya baik semua. Rs bersih dan suasanya nyaman. Terima kasih rs.phc. semangat dalam meningkatkan kualitas pelayanan!!","Doctor, Nurse, Cleanliness","PHC Hospital, PHC Hospital, PHC Hospital","Positive, Positive, Positive",a year ago
"
Pelayanan Pengambilan obat (farmasi) nya Lama sekali..
Posisi masih sepi pasien harus menunggu 1 jam pengambilan obatnya, sedangkan anak saya masih balita kondisinya sakit dan butuh obat itu..
Mohon kinerjanya di perbaiki kasian pasien2 lainnya.",Waiting Time,NULL,Negative,a year ago
"
Pelayanan saat saya berada di rawat inap kurang. Susternya tidak ramah. Saat saya membutuhkan susternya tidak segera menghampiri. Kemudian saat pulang tidak segera dipulangkan karena menunggu dokternya yang belum datang. Hal ini terjadi lagi saat waktu rawat jalan setelah operasi, sesudah  mendaftar lewat aplikasi, malam sebelum kontrol diberitahu tidak praktek, kemudian pada hari lain juga diberitahu malam sebelum praktek. Padahal sebelumnya sudah nelpon susternya apakah hari berikutnya praktek atau tidak, kata susternya daftar saja dulu. Padahal tinggal bilang dokter cuti sampai tanggal berapa saja. Sehingga saya memberikan rating tersebut.

Nb :Disini saya hanya bermaksud menilai keseluruhan pelayanan dan fasilitas saat saya berada di phc. Mohon jadikan hal ini sebagai perbaikan agar kedepannya tidak terjadi hal yang sama seperti saya.","Nurse, Waiting Time, Doctor, Receptionist&Billing","PHC Hospital, PHC Hospital, PHC Hospital, PHC Hospital","Negative, Negative, Negative, Negative",a year ago
"
Untuk biaya cek kehamilan lumayan mahal 730 ribu dgn asuransi bni life ,sering di ganti dengan dokter pengganti dan harus nunggu 2 jam lebih dokter nya baru ada. Kualitas dan pelayan standart di bandingkan dengan rumah sakit persada, rumah sakit persada jauh lebih bagus.","Test&Examination, Cost, Waiting Time","NULL, NULL, NULL","Negative, Negative, Negative",a year ago
"
Sangat ramah Perawat dan semua jajaranx selalu care dan senyum pada setiap layanannya",Nurse,NULL,Positive,4 years ago
"
Dasar rumah sakit macam apa ini poli anak katanya di tutup jam 20.00  saya daftar jam 19.50 katanya bilang gini embaknya ngak bisa embak sudah ditutup kan namanya ngelayanin orang sakitkan yang penting tutup jam 20.00 ternyata orangnya di batesin dasar emang rumah sakit jam2an bukan rumah sakit 24 jam bohong itu pelayanan juga tidak sopan jangan ke rumah sakit ini tidak worth it ",NULL,Polychild,Negative,a year ago
"
Rumah sakit yang dikelola Pelindo.
Termasuk rumah sakit rujukan, menerima BPJS.
Rumah sakit ini semakin maju dan mengembangkan.dirinya dengan.menambah berbagai fasilitas pelayanan.",NULL,NULL,Positive,3 years ago
"
Pelayanan kurang...mahal bagi warga kurang mampu...makanya orang miskin dilarang sakit...pantaskah menyandang rumah sakit type B.?....apalagi pake BPJS...malah kurang di manusiakan...memangnys bpjs mbayar pake daun..",Cost,NULL,Negative,a year ago
"
tempatnya bersih, ada ruang duduk/ruang santai didekat kamar inap pasien.ada minimarket, kantin, taman.","Cleanliness, Food","NULL, NULL","Positive, Positive",2 years ago
"
kagum, salah satu RS yang ngadain kajian sunnah rutin d bulan ramadhan...masyaAllah, salut ",NULL,NULL,Positive,a year ago
"
RS PHC salah satu rumah sakit  yang di tunjuk pemerintah untuk mengurus dan mengeluarkan sertifikat medical chack up untuk pelaut",Test&Examination,PHC Hospital,Positive,a year ago
"
Rumah sakit yang bagus, bersih, dan ramah anak. Tetapi agak jauh dari pusat kota.",Cleanliness,NULL,Positive,8 months ago
"
Tingkatkan pelayanan dan kualitasmu ya.. Mantab",NULL,NULL,Positive,6 months ago
"
Tenang banget",NULL,NULL,Positive,a year ago
"
Nyaman, ramah",NULL,NULL,Positive,a year ago
"
rumah sakitnya bagus dan mewah

Pelayanan di rumah sakit ini sangat memuaskan banget, sesuai dengan harganya. Begitupun dengan peralatannya, pokoknya worthed deh. Apalagi kalau kamu berkesempatan konsultasi sama dokter itu. Dokter dan staff  rumah sakitnya orangnya baik, ramah, tidak pelit info, pokoknya superrr baik. 
bagus juga dan tempatnya sangat nyaman, cukup memuaskan dengan pelayanan yang cukup bagus dan menyenangkan. Staf dan pegawainya juga ramah dan baik hati, setia membantu yang membutuhkan. 
Akses ke rumah sakit ini juga sangat mudah","Cost, Test&Examination, Doctor","NULL, NULL, NULL","Negative, Positive, Positive",a year ago
"
Rumah sakitnya bersih banget, layanan cepat dan fasilitasnya lengkap.","Cleanliness, Waiting Time, Test&Examination","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Pegawainya baik. Jalannya sepi kalau di atas jam 7. Jadi hati2 yaa",Safety,NULL,Negative,a year ago
"
Pelayanan kurang baik. Suster kurang ramah dan kurang cepat dalam melayani. terutama suster di bagian rawat inap Intan. Mau pulang saja pasien harus menyusul dokter sendiri karena susternya lama tidak menanggapi. Kemudian untuk menunggu obat saja pasien harus menunggu hampir 6 jam. Kelamaan. Buang buang waktu.","Nurse, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Tidak baik, saya ingin membuat janji dengan dokter susah banget. Tlp ga diangkat, sekalinya diangkat di tutup lagi. Giliran saya ke saya besok pasti dibilang jadwal padat ataupun buat janji sehari sebelimnya. Mau apa? Heraaannnn tidak sebaik dijakarta rumah sakitnya",Receptionist&Billing,NULL,Negative,a year ago
"
pelayanan sangat tidak menyenangkan org sudah masuk sakit da lemes tp ktx normal trus dr masuk siang sampai mau magrib org d biarin klupun opnam apa g kan harusx beri penjelasan jd pasien g nunggu lama kasian salah satu perawat laki2 jg pelayanan g bagus jg dokterx pun galak banget masak marahin dokter magang kok kasar banget dlm ruangan lg kan kasian malu namax aja magang yg perlu bimbingan d bilangi nt atau d ruangan lain kan bisa g d tempat umum kyk dia g pernah jd magang n g pernah salah aja","Waiting Time, Nurse, Doctor","NULL, NULL, NULL","Negative, Negative, Negative",2 years ago
"
Anak pertama lahir di sini. Pelayanan bagus dan dokter spesialis rata-rata juga banyak yang recommend. Selain gedung rumah sakit yang baru dan sistem antrian untuk rawat jalan juga bisa online, sangat membantu karena biasanya untuk dokter spesialist tertentu terdapat kuota pasien per hari jadi bisa di siasati dengan ambil antrian online. Selain fasilitas lengkap dan toilet juga bersih. Di rumah sakit ini menerima hampir semua asuransi kesehatan dan juga ada loket kusus untuk BPJS. Menu restoran bervariasi, indomaret, dunkin donat dan layanan terbaru adalah daycare bayi dan anak. Satu hal yang kurang adalah tempat parkir yang terbatas dan harga parkir yang mahal.","Doctor, Receptionist&Billing, Test&Examination, Cleanliness, Food, Parking","NULL, NULL, NULL, Toilet, NULL, NULL","Positive, Positive, Positive, Positive, Positive, Negative",2 years ago
"
Satpam dan beberapa petugas yg saya temui cukup ramah. Hanya menyayangkan, sy berobat dg dokter internist Heri Purbayu, kecewa dengan pelayanannya. Jadwal dokter jam 6.00pm tapi beliau nya baru datang jam 10.00pm, dan saat diperiksa tidak terlalu di gubris, jawabannya malah membuat down ibu saya yg sakit sdh cukup lama, suster2 di dalam ruangan ada canda dengan dokter, ada music jg di dalam ruang prakteknya. Sy tidak tau, apakah memang begini pelayanan untuk pasien yg menggunakan BPJS? atau hanya dokter ybs ini saja yg pelayanannya demikian? karna kala itu kali pertama sy gunakan BPJS. Tiap bulan kami membayar iuran BPJS walaupun nominalnya kecil, bukan cuma-cuma.","Doctor, Waiting Time, Test&Examination, Cost","NULL, NULL, NULL, NULL","Negative, Negative, Negative, Positive",2 years ago
"
Sangat membantu, walaupun saya belum tau alur berobat pakai bpjs. Semoga barokah",Receptionist&Billing,NULL,Positive,3 years ago
"
Rumah sakit seperti hotel, View laut perak nya bagus, cm minus nya petugas pelayannya sepertinya sedikit karena sepi",NULL,NULL,Positive,a year ago
"
Waah Kalau PHC mah ibarat Rumah Sakit Keluarga saya. Dari lahir sampai sekarang, masih berobat disini.",NULL,PHC Hospital,Positive,2 years ago
"
Rumah sakit yang nyaman banget, petugasnya care dan pendaftaran by online sehingga memudahkan layanan ",Receptionist&Billing,NULL,Positive,a year ago
"
Rumah Sakit yang bersih bebas bau obat di semua lingkungannya, sehingga  pengunjung seakan masuk dalam sebuah Hotel Berbintang. 

RS ini type B dengan > 200 jumlah tempat tidur dan sudah ter-Akreditasi KARS secara Paripurna  di tahun 2017,  terstandar ISO untuk layanan Laboratorium & Rawat Inap nya didukung para dokter dan tenaga medis yang Professional dibidangnya.

Fasilitas layanan medis dan non medisnya lengkap dan modern, di dalamnya juga ada d' Calimas Cafe yang bisa dibuat bersantai bersama keluarga. 

Mari buktikan sendiri sensasi berbeda dalam layanan kesehatan untuk sekelas Rumah Sakit yang ada di kota Surabaya.","Test&Examination, Doctor, Nurse, Food","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",2 years ago
"
Karyawannya gak teliti !!!!
Udah lama2 nunggu Ternyata berkas yg dikasih salah.
Saya gak di suntik eh di billnya di cantumin di suntik akhirnya revisi nunggu lagi jadinya 
Buang2 waktu buat nunggu","Waiting Time, Receptionist&Billing","NULL, NULL","Negative, Negative",2 years ago
"
Bersih dan nyaman. ",Cleanliness,NULL,Positive,3 years ago
"
Untuk MEDICAL CHECK UP para PELAUT
THANK'S",Test&Examination,NULL,Positive,2 years ago
"
Tenaga medis baik baik",Doctor,NULL,Positive,4 months ago
"
PHC Health Talk with dr Boyke ""Kesehatan Reproduksi Sebagai Sebuah Investasi"". Nantikan Health Talk selanjutnya untuk para Customers PHC :)",NULL,PHC Hospital,Positive,a year ago
"
Fasilitas ok pelayanan MENGECEWAKAN. perawatnya JUTEK abissssssss. Pas d kelas 1, juteknya gak kira2, habis qt pindah ke VIP baru dibaek2in deh. Kok gt yak ckckck, payah.","Test&Examination, Nurse","NULL, NULL","Positive, Negative",a year ago
"
slamat siang...sy mau tanya apakah rs phc menerima pasien yg mengunakan bpjs dr pemerintah.bkn bpjs yg bayar pribadi",Receptionist&Billing,NULL,Neutral,2 years ago
"
Peralatan medis, pelayanan, gedung sudah mengikuti aturan pelayanan yang baik",Test&Examination,NULL,Positive,3 years ago
"
Lagi menunggu...",Waiting Time,NULL,Neutral,3 years ago
"
Tempatnya nyaman dan bagus,pelayanannya bagus,,kaos original branded shoppe dan ig : branded_store079",NULL,NULL,Positive,a year ago
"
Untuk pelayanan dokter jg suster sangat baik..tp untuk adminsnya kurang manusiawi.smpk detik ini mama saya masih dirawat drmh sakit tetapi dr pihak administrasi terus2an mendatangi kamar untuk melakukan pembyaran dan disrh byr lunas dan mereka menyarankan untuk pulang sedangkan kondisi mama saya mash br sembuh dr koma dgn alasan supya biaya tdk bengkak","Doctor, Nurse, Receptionist&Billing","NULL, NULL, NULL","Positive, Positive, Negative",3 years ago
"
Ibu-ibu yang jaga bagian parkir motor judes sekali. Lebih mementingkan main HP.",Parking,NULL,Negative,2 years ago
"
Pendaftaran rawat jalan online menggunakan BPJS sangat tidak jelas, dari PMC diminta ke pendaftaran BPJS di depan, tapi di depan diminta kembali ke PMC.",Receptionist&Billing,NULL,Negative,2 years ago
"
Untuk pendaftaran pasien bisa melalui aplikasi android.
Silahkan download di app store namanya ""RSPHC care""",Receptionist&Billing,NULL,Positive,2 years ago
"
Pelayananya sekarang beda,gak seperti dulu. Dari mulai pandaftaran yg bnyk tny, sejak ada dokter2 muda jadi lemut semua. Apalagi IGD kalau dah jaga malam bener2 lemut. Memang gedungnya bagus tapi sayang pelayanannya lambat.","Receptionist&Billing, Doctor, Waiting Time","NULL, NULL, NULL","Negative, Negative, Negative",3 years ago
"
Standard pelayanan  ruang rawat inap  masih kurang memuaskan...",NULL,NULL,Negative,2 years ago
"
Anak saya melakukan proses sirkumsisi dengan metode smart clamp di sini. Pelayanan bagus, respon cepat ",Waiting Time,NULL,Positive,2 years ago
"
Bagus",NULL,NULL,Positive,8 months ago
"
09-06-2016saya mengalami kebengakan dalam otak dan sekarang saya masih dlam perawatan dokter..perawatan dan pelayanan nya membuat saya puass",Doctor,NULL,Positive,4 years ago
"
udara disini lebih segar",NULL,NULL,Positive,a year ago
"
Rumah sakit pemerintah yg profesional, tapi nunggu obat atau hasil racikan obat lama sekali, hampir sejam",Waiting Time,NULL,Negative,3 years ago
"
Ba Nyi' sering berobat ke sini, alhamdulillah... berkat Alloh SWT sembuh.",NULL,NULL,Positive,2 years ago
"
Rumah sakitnya sih oke keren mewah , tapi berbanding terbalik dengan pelayanannya, 

Rumah Sakit PHC Surabaya memiliki produk unggulan sebagai rumah sakit bedah maupun medik, yaitu operasi bedah saraf, operasi ...",NULL,NULL,Neutral,a year ago
"
rumah sakit dengan pelayanan yang excelent,, cozy banget, keren, love it so much",NULL,NULL,Positive,a year ago
"
Mantap pelayanannya",NULL,NULL,Positive,a year ago
"
Dokter bagus. Tenaga medis lain cukuo bagus. Apotek poli anak sangaaaaat lama. Terlalu lama.","Doctor, Waiting Time","NULL, Polychild","Positive, Negative",a year ago
